Name,Address,Phone Number,Website Link,email,,,,,,,,
Life Care Masonic Charitable Hospital,"Opposite New Public School, Madhya Marg, Sector 18B, Chandigarh, 160018, India",+91 98766 56939,,,,,,,,,,
Civil Hospital Sector 22,"Sector 22 Market Rd, Sector 22D, Sector 22, Chandigarh, 160022, India",,,,,,,,,,,
Kapoor's Kidney & Urostone Centre Pvt. Ltd.,"Site No.2, Sukhna Path, Near Gurudwara, Opposite 45-46 Traffic Lights, Sector 46D, Chandigarh, 160047, India",+91 172 263 4811,http://kidneyurostonecentre.com/,,,,,,,,,
Healing Hospital And Institute Of Paramedical Sciences,"PQF9+JQC, Sector 34A Rd, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 94643 43434,https://healinghospital.co.in/,info@healinghospital.co.in,,,,,,,,
THE CLINIC - A unit of Rameshwara Hospital Private Limited -RHPL,"House no.10, Sector 11-A, Sector 11, Chandigarh, 160011, India",+91 97799 92314,,,,,,,,,,
Chhuttani Medical Centre,"S.C.O 52 - 53 - 54, Bridge Market, 17C, Sector 17, Chandigarh, 160017, India",+91 172 270 2543,http://www.cmcchandigarh.in/,,,,,,,,,
Bedi Hospital (Best Mother and Child Care Hospital),"182, 33A, Sector 33, A, Chandigarh, 160020, India",+91 80 4577 6776,http://www.bedihospital.com/,contact@bedihospital.com,,,,,,,,
Magnum multi-speciality Hospital,"House No 2103 Near Congress Bhavan, 35C, Chandigarh, 160036, India",,,,,,,,,,,
Civil Hospital Sector 45,"1642, V4 Rd, Burail, Burail Village, Sector 45, Chandigarh, 160047, India",+91 172 260 1023,,,,,,,,,,
"Cosmo Hospital | Multispeciality Hospital and Child Specialist Hospital in Mohali, Chandigarh","Cosmo Hospital, Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 90564 44465,,,,,,,,,,
Civil Hospital,"PR7R+3XR, Sector 13, Chandigarh, Panchkula, Chandigarh 160101, India",+91 172 275 1004,,,,,,,,,,
Government Medical College & Hospital,"Sector 48A, Sector 48, Chandigarh, 160047, India",+91 172 260 1023,https://gmch.gov.in/about-us/about-gmch,manpreetdawar@hotmail.com,,,,,,,,
Ramdarbar Rural Polyclinic,"NRHN State Health Society, Sector 22, Ram Darbar, Chandigarh 160002, India",+91 172 270 2924,http://nrhmchd.gov.in/,,,,,,,,,
Civil Hospital Mohali,"Civil Hospital and Govt College, Road, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India",,http://www.pbhealth.gov.in/,,,,,,,,,
Indus Super Speciality Hospital,"opp. Old DC Office, Sector 55, Phase 1, Sector 55, Sahibzada Ajit Singh Nagar, Punjab 160055, India",+91 1762 512 666,http://www.indushospital.in/,contact@indushospital.in,,,,,,,,
Government Medical College & Hospital Emergency Room,"Dakshin Marg, 32B, Sector 32, Chandigarh, 160047, India",+91 172 260 1023,http://www.gmch.gov.in/,manpreetdawar@hotmail.com,,,,,,,,
Aarogya Hospital,"Khudda Lahora, Chandigarh, Khudda Lahora, Chandigarh 160014, India",,,,,,,,,,,
Ayu Health Hospitals - Ayushman Bharat Empanelled,"17, Piccadily Rd, above Domino's SCO16, Sub. City Center, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 731 485 5513,https://ayu.health/chandigarh?utm_source=google&utm_medium=organic&utm_campaign=GMB_chd_sector34a,contact@ayu.health,,,,,,,,
"Shalby Multi-Specialty Hospital, Mohali","Mohali Stadium Rd, near PCA Stadium, Phase 9, Sector 63, Sahibzada Ajit Singh Nagar, Lamba, Punjab 160062, India",+91 172 490 7000,https://www.shalby.org/hospitals/mohali-shalby/?utm_source=google_map&utm_medium=organic&utm_campaign=Mohali_Shalby_Hospital,info.mohali@shalby.in,,,,,,,,
Sangam Neuro Hospital,"# 619, Sector 18-B, Chandigarh, 160018, India",,,,,,,,,,,
Fortis Hospital Mohali,"Sector 62, Sahibzada Ajit Singh Nagar, Lamba, Punjab 160062, India",+91 172 469 2222,https://www.fortishealthcare.com/location/fortis-hospital-mohali?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb,secretarial@fortishealthcare.com,,,,,,,,
Indus Hospital,"SCF 98-100, Near Chawla Chowk, Phase 3B-2, Sector 60, Sahibzada Ajit Singh Nagar, Punjab 160059, India",+91 1762 512 666,https://www.indushospital.in/Indus-Hospital-3b2,contact@indushospital.in,,,,,,,,
Charitable hospital,"PQX8+3C4, Unnamed Road, 24B, Sector 24, Chandigarh, 160036, India",,,,,,,,,,,
German Hospital,"Karoran Rd, Govind Nagar, Nayagaon, Punjab 160103, India",+91 94173 11419,,,,,,,,,,
Park Hospital,"Jail Rd, Phase 9, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 75620 00000,https://parkhospital.in/hospital/grecian-superspeciality-hospital-in-mohali,info@parkhospital.in,,,,,,,,
Ayu Health Hospitals,"MPXG+QH5, Himalaya Marg, near COSMO Hospital, Sector 62, Sahibzada Ajit Singh Nagar, Chandigarh, Punjab 160062, India",+91 731 485 5513,https://ayu.health/chandigarh/hospital/ayu-health-multi-speciality-hospital-sector-62-42?utm_source=google&utm_medium=organic&utm_campaign=GMB_CHD_sector62,contact@ayu.health,,,,,,,,
General Hospital,"Phase 2, Sector 54, Sahibzada Ajit Singh Nagar, 160059, India",,,,,,,,,,,
Nins Brain & Spine Hospital,"SCO 341-342, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 172 500 0567,,,,,,,,,,
Mata Kulbir Kaur Ji Charitable Hospital,"PPWQ+7XV, Gurudwara Santsar Sahib, Paschim Marg, Sector 38 West, Sector 38, Chandigarh, 160036, India",,,,,,,,,,,
"Block B, OPD, GMCH","PQ5H+RX7, Sector 32B, 32B, Sector 32, Chandigarh, 160047, India",+91 172 266 3301,,,,,,,,,,
Pgi Chandigarh,"PGI HOSPITAL CHANDIGARH, Sector 12, Chandigarh, 160012, India",,,,,,,,,,,
Guru Ka Langar Eye Hospital,"536, Madhya Marg, 18B, Sector 18, Chandigarh, 160018, India",+91 95920 64040,https://chandigarhherald.com/listing/guru-ka-langar-eye-hospital/,support@listing.com,,,,,,,,
Chawla Hospital,"1, Sarovar Path, Phase 7, Sector 61, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 98145 01415,https://chawlahospital.in/,chawlahospitalmohali@gmail.com,,,,,,,,
Happy Family Hospital,"# 54 AND 55, Old Ropar Rd, Samadhi Gate, Sector 13, Chandigarh, 160101, India",+91 94170 08765,https://happyfamilyhospital.business.site/,,,,,,,,,
ESIC Dispensary,"Sector 29D, 29D, Sector 29, Chandigarh, 160030, India",+91 172 265 7793,,,,,,,,,,
Alpha Chandigarh Hospital | Multispecialty Hospital | Ortho | Gynae | General Surgery,"Mohali, NH-05, near CHANDIGARH UNIVERSITY, Gharuan, Punjab 140413, India",+91 78140 03130,https://www.alphachandigarh.com/,medicaltourism@alphachandigrah.com,,,,,,,,
"𝗔𝗥𝗩 𝗢𝗿𝘁𝗵𝗼𝗽𝗮𝗲𝗱𝗶𝗰 𝗛𝗼𝘀𝗽𝗶𝘁𝗮𝗹 - Best Orthopaedic, Sports Injury Hospital, Knee Replacement & Trauma Hospital in Chandigarh","2125, Sector 21C, Sector 21, Chandigarh, 160021, India",+91 84274 52125,https://arvhospital.com/,dratulmalhotra.23@gmail.com,,,,,,,,
Composite Hospital ITBP,"MRH4+5W4, NH21, Behlana, Chandigarh, 160003, India",+91 172 265 2709,,,,,,,,,,
Virdi Eye Hospital,"SCO 226-227, Sector, 34A, Dakshin Marg, near Patania Petrol Pump, Chandigarh, 160022, India",+91 172 507 7101,https://chandigarhherald.com/listing/virdi-eye-hospital/,support@listing.com,,,,,,,,
GMSH,"QQ2J+8FJ, Madhya Marg, Sector 16 A, Sector 16, Chandigarh, 160015, India",,,,,,,,,,,
Kare partner heart centre,"3314, Near Gurudwara Sahib, 19D, Sector 19, Chandigarh, 160019, India",+91 75298 33446,http://www.india.karepartners.com/,,,,,,,,,
Municipal Corporation Chandigarh Civil Dispensary,"Sector 19 A, Chandigarh 160019, India",,,,,,,,,,,
AM Hospital Mohali,"MOHALI BYEPASS, ROAD, Sector 58, Sahibzada Ajit Singh Nagar, Punjab 160058, India",+91 172 503 2683,http://www.amhospital.in/,,,,,,,,,
Shivalik Hospital,"Ace Heart & Vascular Institute, Japjee Dental Rd, opposite Shemrock School, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",,,,,,,,,,,
MAX MedCenter,"Chandigarh Rd, 56A, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 140308, India",+91 77107 77107,http://www.maxhealthcare.in/hospital-network/max-super-speciality-hospital-mohali,digitalquery@maxhealthcare.com,,,,,,,,
"APC, PGIMER( Child Opd)","PGI HOSPITAL CHANDIGARH, Sector 12, Chandigarh, 160012, India",,,,,,,,,,,
Dr Vivek Singla Laparoscopic Surgeon,"Dolphin Ivf & Laparoscopy Centre Landmark Hospital Sector 33 Chandigarh Room No 4 & 5 Basement, Chandigarh 160034, India",+91 94173 77858,http://www.dolphinivf.com/,,,,,,,,,
Dhawan Hospital,"Plot Number 1, Dhawan Hospital, Rina Road, Plot No.1, Gurudwaara Rd, Sector 7, Panchkula, Haryana 134109, India",+91 172 259 6090,http://dhawanhospital.co.in/,info@nayyarhospital.com,,,,,,,,
Dr. Chander Hospital,"19D, Sector 19, Chandigarh, 160019, India",,,,,,,,,,,
Grecian Hospital Diagnostic/ PET CT,"MPRC+M9P, Sector 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 62837 05192,https://www.grecianhospital.com/,,,,,,,,,
Rush Healthcare,"SCO 179 – 180, Level 1, Madhya Marg, Behind DLF, Sector 8-C, Chandigarh, 160018, India",+91 98789 17030,,,,,,,,,,
Arv Health Care Private Ltd,"PQHF+3J5, Sector 21D, Sector 21 D, Sector 21, Chandigarh, 160022, India",,,,,,,,,,,
New Lifeline Hospital,"NH-22, Ambala Chandigarh Road Near Ramada Plaza by Wyndham Chandigarh Zirakpur, Sahibzada Ajit Singh Nagar, Punjab 140603, India",+91 98141 04203,https://newlifelinehospital.in/,webmaster@newlifelinehospital.in,,,,,,,,
IVY Hospital Mohali,"IVY Hospital Mohali, Sector 71, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 62395 02002,https://ivyhospital.com/,,,,,,,,,
Shri Dhanwantry Ayurvedic College and Hospital,"77, Chandi Path, 46B, Sector 46, Chandigarh, 160047, India",+91 77107 78822,https://www.sdach.ac.in/,,,,,,,,,
Government homeopathic and ayurvedic dispensary,"MQW9+C3J, Sector 47 D, Sector 47, Chandigarh, 160047, India",,,,,,,,,,,
Motherhood Hospital,"Cosmo MSH Building, Sector 62, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 84948 00093,https://www.motherhoodindia.com/locations/mohali/,writetous@motherhoodindia.com,,,,,,,,
Dolphin IVF & laparoscopy centre,"landmark hospital, Sector 33C,, Chandigarh, 160033, India",+91 79867 53988,http://www.dolphinivf.com/,,,,,,,,,
State Tuberculosis Cell,"Parivar Kalyan Bhawan, Sub. City Center, Sector 34A, Sector 34, Chandigarh, 160022, India",,http://tbcindia.nic.in/,,,,,,,,,
"Shuddhi Hiims (Derabassi, Chandigarh) Ayurveda Panchakarma Integrated Hospital (On Panel NABH)","Pind Devinagar, Opposite side Of Haldiram, Back Side Of Jugraj Dhaba Chandigarh Delhi, Highway, Dera Bassi, Chandigarh, Punjab 140507, India",+91 82704 82704,https://hiims.in/#utm_source=google_search_gmb&utm_medium=google_business_profile&utm_campaign=gmb&utm_term=location_based,custcare@jeenasikho.co.in,,,,,,,,
Dr Manish Singla Best Nephrologist,"Kuc hospital, 46A, Sector 46, Chandigarh, 160047, India",+91 98723 25087,http://drmanishsingla.in/,,,,,,,,,
Amar Hospital | Best Multi-Speciality Hospital in Chandigarh Mohali,"Mattaur Rd, Sector 70, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 62629 99943,https://amarhospital.net/,,,,,,,,,
Cheema Medical Complex,"Mohali Stadium Rd, near BSNL Telephone Exchange, Phase 4, Sector 59, Sahibzada Ajit Singh Nagar, Punjab 160059, India",+91 80549 22340,http://www.cmcmohali.com/,cmchospital@gmail.com,,,,,,,,
J.P Hospital,"NH 21, Zirakpur - Chandigarh Highway, Under Flyover, Panchkula, Chandigarh Rd, Zirakpur, Punjab 140603, India",+91 77173 05050,https://jphospitals.in/,hospital@jpsingla.com,,,,,,,,
Command Hospital,"Chandimandir Cantonment, Panchkula, Haryana 134114, India",+91 1800 11 2526,,,,,,,,,,
"A.I.I.M.S , Chandigarh (Proposal)","QQR3+FGC, Kurali Chandigarh Rd, DLF Mullanpur, Chandigarh, Punjab 160014, India",,,,,,,,,,,
Sarhind Orthopaedic Multispeciality Medical Centre,"SCO No. 23, Sector, 33D, Sector 33, Chandigarh, 160047, India",+91 99155 61211,https://www.facebook.com/Sarhind-Orthopaedic-Multispeciality-Medical-Centre-1176087339162705/,,,,,,,,,
SAGE HOSPITAL,"Plot No 1, Sector 123, Sunny Enclave, Sahibzada Ajit Singh Nagar, Sihanpur, Punjab 140301, India",+91 95015 35353,http://sagemediclinic.com/index.php,ivfsage@gmail.com,,,,,,,,
Hope Clinic & Maternity Centre Pvt.Ltd,"SCO 1066-1067 Aerodale Market, New, Sector 123, Sunny Enclave, Sahibzada Ajit Singh Nagar, Punjab 140301, India",+91 94651 09935,,,,,,,,,,
HealthFinder,"Plot 25, Industrial Area Phase II, Chandigarh, 160002, India",+91 77400 33771,http://healthfinder.in/,info@healthfinder.in,,,,,,,,
Neo Hospital,"PMC3+835, Prime City, opposite Maa Ambika Devi Mandir Landran Road, Kharar (Mohali, Kharar, Punjab 140301, India",+91 98536 20009,,,,,,,,,,
Phoenix Hospital,"SCO 8, Sector 16,, Panchkula, Haryana 134109, India",+91 172 505 4321,http://www.phoenixhospitalindia.com/,,,,,,,,,
Sohana Hospital,"Super Specialty Hospital, SH12A, Akal Ashram Colony, Sector 77, Sahibzada Ajit Singh Nagar, Punjab 140308, India",+91 172 313 1313,https://www.sghshospitals.com/,info@sghshospitals.com,,,,,,,,
Bhardwaj Heart Care,"S.C.O, 365, Sector 32D, Sector 32, Chandigarh, 160030, India",,,,,,,,,,,
City Hospital - ayurvedic gynaecologist in chandigarh tricity,"Issapur Rd, Vishwakarma Colony, Mohan Nagar, Dera Bassi, Punjab 140507, India",,,,,,,,,,,
Santokh Klinics,"SCO 77, Sector 38C, Market, Chandigarh, 160036, India",+91 85588 66846,http://www.santokhklinics.in/,hospital@santokh.in,,,,,,,,
Pristyn Care,"1599, Sector 22B, Sector 22, Chandigarh, 160022, India",+91 63665 27923,https://clinics.pristyncare.com/pristyn-care-pristyn-care-sector-22-obstetrician-gynecologist-sector-22-chandigarh-78633/Home?utm_source=locator&utm_medium=googleplaces,,,,,,,,,
Kidney Transplant Chandigarh Hospital - Best Nephrologist Chandigarh - Dr. Raka Kaushal & Dr. Avinash Srivastava -,"IVY Hospital Mohali, Sector 71, Sahibzada Ajit Singh Nagar, Punjab 160071, India",+91 98880 89761,https://kidneytransplantchandigarh.com/,,,,,,,,,
Mirchia's Laser Eye Clinic,"No SCO 833 & 834 Sector 22A, opposite Parade Ground, Sector 17, Chandigarh, 160022, India",+91 95949 24434,https://www.dragarwal.com/eye-hospital/sector-17-chandigarh/?utm_source=locator&utm_medium=googleplaces,info@dragarwal.com,,,,,,,,
Max Super Speciality Hospital,"WG7R+7W4, Chandigarh Rd, near Civil Hospital, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Behrampur Dhaha, Punjab 160055, India",+91 92053 10346,http://maxhospitalindia.com/,digitalquery@maxhealthcare.com,,,,,,,,
Dr. Praveen Taneja,"0172 - 2668768, 1203, Jan Marg, 42B, Sector 42, Chandigarh, 160036, India",+91 172 266 8768,,,,,,,,,,
Paras Hospitals - Panchkula,"Paras Hospitals, near Nada Sahib Gurudwara, Sector 22, Panchkula, Nada Sahib, Haryana 134109, India",+91 80 3535 8706,https://www.parashospitals.com/india/paras-hospitals-panchkula,contact.panchkula@parashospitals.com,,,,,,,,
ACE Heart & Vascular Institute- Best Cardiology/Heart Treatment Hospital in Chandigarh Mohali,"Ace Heart & Vascular Institute, Shivalik Hospital Premises, Sector - 69, Sahibzada Ajit Singh Nagar, Punjab 160062, India",+91 90413 86868,http://www.aceheartinstitute.com/,help@aceheartinstitute.com,,,,,,,,
Eye clinic,"Bharat Vikas Parishad, 24B, Sector 24, Chandigarh, 160036, India",,,,,,,,,,,
Chandigarh multispecialtiy Hospital,"Gurdwara, Raje Majra, Chandighar Ropar road, NH205, opp. Solkhian, Punjab 140108, India",+91 188 129 1210,,,,,,,,,,
Heart Care Centre,"36A, Sector 36, Chandigarh, 160036, India",+91 172 261 1183,,,,,,,,,,
